RANKING;COUNTRY;COU;PLAYER;MARKED;MATCHES;GOALS;DEBUT;POSITION;WC;WC_DESC;UCL/MUNDIALCLUB;UCL_DESC;EUROAMERICAN;EURO_DESC;BOTH;SOLO_AWARD;SOLO_AWARD2;AWARD_DESC;ENGLAND;SPAIN;ITALY;GERMANY;FRANCE;NONSTRIKER
45;SVK;SVK;Robert Boenik;0;55;7;2019;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
45;SVK;SVK;Tomas Bobcek;0;2;1;2025;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
45;SVK;SVK;Lubomis Tupta;0;19;0;2023;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
45;SVK;SVK;Robert Mak;2;81;16;2013;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
44;CZE;CZE;Tomas Chory;0;19;5.5;2023;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
44;CZE;CZE;Mojmir Chytil;0;19;6.49;2022;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
44;CZE;CZE;Adam Hlozek;0;41;4;2020;CENTER;0;;0;;0;;0;1;0;;0;0;0;1;0;0
44;CZE;CZE;Patrik Schick;2;50;24;2016;CENTER;0;;0;;0;;0;1;0;;0;0;0;1;0;0
43;SWE;SWE;Alexander Bernhardsson;0;9;0;2023;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
43;SWE;SWE;Benjamin Nygren;0;7;3;2025;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
43;SWE;SWE;Ken Sema;0;32;5;2017;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
43;SWE;SWE;Anthony Elanga;0;26;5;2022;RIGHT;0;;0;;0;;0;0;0;;1;0;0;0;0;0
43;SWE;SWE;Viktor Gyokeres;2;30;15;2019;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
43;SWE;SWE;Alexander Isak;1;56;16;2017;CENTER;0;;0;;0;;0;1;0;;1;1;0;1;0;0
42;CIV;CIV;Parfait Guiagon;0;4;0;2025;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
