"rank","artist","wc","bdor","leagues","club-trophy","country-trophy","y","x"
11,"Ferenc Puskás",0,0,2,0,1,100,746
10,"Ronaldinho",1,1,2,1,1,180,200
9,"Ronaldo Nazário",2,2,2,1,1,150,414
8,"Franz Beckenbauer",1,2,1,1,1,140,100
7,"Zinedine Zidane",1,1,2,1,1,180,125
6,"Alfredo Di Stéfano",0,2,2,1,1,180,510
5,"Johan Cruyff",0,3,2,1,1,320,403
4,"Cristiano Ronaldo",0,5,3,1,1,258,943
3,"Diego Maradona",1,0,2,1,1,220,345
2,"Pelé",3,0,1,1,1,320,757
1,"Lionel Messi",1,8,2,1,1,390,880
